state_name,bds_year,rural,urban,RF,RM,UF,UM
Andaman & Nicobar Islands,,,,,,,
Andhra Pradesh,,,,,,,
Arunachal Pradesh,,,,,,,
Assam,2012,rural,urban,1,,1,
Bihar,2006,rural,urban,1,,1,
Chandigarh,,,,,,,
Chhattisgarh,2004,rural,urban,1,,1,
Dadra & Nagar Haveli,2014,rural,urban,1,,1,
Daman & Diu,2014,rural,urban,1,,1,
Delhi,,,,,,,
Goa,,,,,,,
Gujarat,1995,rural,urban,1,,1,
Haryana,2008,rural,,1,1,,
Himachal Pradesh,,,,,,,
Jammu & Kashmir,,,,,,,
Jharkhand,2005,rural,urban,1,1,1,1
Karnataka,2006,rural,,1,1,,
Kerala,2006,rural,urban,1,1,1,1
Lakshadweep,,,,,,,
Madhya Pradesh,2004,rural,,1,1,,
Maharashtra,,,,,,,
Manipur,,,,,,,
Meghalaya,,,,,,,
Mizoram,,,,,,,
Nagaland,,,,,,,
Odisha,2011,rural,urban,1,1,1,1
Puducherry,2015,rural,urban,1,1,1,1
Punjab,2011,rural,urban,1,,1,
Rajasthan,2007,rural,urban,1,,1,
Sikkim,,,,,,,
Tamil Nadu,2001,rural,urban,1,1,,
Tripura,2013,rural,urban,1,,1,
Uttar Pradesh,2016,rural,urban,1,1,1,1
Uttarakhand,2013,rural,urban,1,,1,
West Bengal,2015,rural,urban,1,1,1,1
