"sl.
no",state/u.t. (code),region_code,description,sl. no.,name of district,district_code,,
1,Andaman & Nicobar Islands (35),351,Andaman &,1.,Nicobars,(01),,
,,351,Nicobar,2.,North & Middle Andaman,(02),,
,,351,Islands,3.,South Andaman,(03),,
2,"Andhra Pradesh
(28)",281,"Coastal
Northern","4.
5.
6.",Srikakulam,(01),,
,,281,,,Vizianagaram,(02),,
,,281,,,Visakhapatnam,(03),,
,,281,,7.,East Godavari,(04),,
,,281,,8.,West Godavari,(05),,
3,,282,Coastal,9.,Krishna,(06),,
,,282,Southern,10.,Guntur,(07),,
,,282,,11.,Prakasam,(08),,
,,282,,12.,Sri Potti Sriramulu Nellore,(09),,
4,,283,Inland,13.,Y.S.R. (Cuddapah),(10),,
,,283,Southern,14.,Kurnool,(11),,
,,283,,15.,Anantapur,(12),,
,,283,,16.,Chittoor,(13),,
5,Arunachal Pradesh(12),121,Arunachal,17.,Tawang,(01),,
,,121,Pradesh,18.,West Kameng,(02),,
,,121,,19.,East Kameng,(03),,
,,121,,20.,Papum Pare,(04),,
,,121,,21.,Upper Subansiri,(05),,
,,121,,22.,West Siang,(06),,
,,121,,23.,East Siang,(07),,
,,121,,24.,Upper Siang,(08),,
,,121,,25.,Changlang,(09),,
,,121,,26.,Tirap,(10),,
,,121,,27.,Lower Subansiri,(11),,
,,121,,28.,Kurung Kumey,(12),,
,,121,,29.,Dibang Valley,(13),,
,,121,,30.,Lower Dibang Valley,(14),,
,,121,,31.,Lohit,(15),,
,,121,,32.,Anjaw,(16),,
6,Assam(18),181,Plains,33.,Lakhimpur,(08),,
,,181,Eastern,34.,Dhemaji,(09),,
,,181,,35.,Tinsukia,(10),,
,,181,,36.,Dibrugarh,(11),,
,,181,,37.,Sivasagar,(12),,
,,181,,38.,Jorhat,(13),,
,,181,,39.,Golaghat,(14),,
7,,182,Plains,40.,Kokrajhar,(01),,
,,182,Western,41.,Dhubri,(02),,
,,182,,42.,Goalpara,(03),,
,,182,,43.,Barpeta,(04),,
,,182,,44.,Bongaigaon,(20),,
,,182,,45.,Chirang,(21),,
,,182,,46.,Kamrup,(22),,
,,182,,47.,Kamrup Metropolitan,(23),,
,,182,,48.,Nalbari,(24),,
,,182,,49.,Baksa,(25),,
8,,183,Cachar Plain,50.,Karbi Anglong,(15),,
,,183,,51.,Dima Hasao,(16),,
,,183,,52.,Cachar,(17),,
,,183,,53.,Karimganj,(18),,
,,183,,54.,Hailakandi,(19),,
9,,184,Central,55.,Morigaon,(05),,
,,184,Brahamputra,56.,Nagaon,(06),,
,,184,Plains,57.,Sonitpur,(07),,
,,184,,58.,Darrang,(26),,
,,184,,59.,Udalguri,(27),,
10,"Bihar
(10)",101,Northern,"60.
61.
62.",Pashchim Champaran,(01),,
,,101,,,Purba Champaran,(02),,
,,101,,,Sheohar,(03),,
,,101,,63.,Sitamarhi,(04),,
,,101,,64.,Madhubani,(05),,
,,101,,65.,Supaul,(06),,
,,101,,66.,Araria,(07),,
,,101,,67.,Kishanganj,(08),,
,,101,,68.,Purnia,(09),,
,,101,,69.,Katihar,(10),,
,,101,,70.,Madhepura,(11),,
,,101,,71.,Saharsa,(12),,
,,101,,72.,Darbhanga,(13),,
,,101,,73.,Muzaffarpur,(14),,
,,101,,74.,Gopalganj,(15),,
,,101,,75.,Siwan,(16),,
,,101,,76.,Saran,(17),,
,,101,,77.,Vaishali,(18),,
,,101,,78.,Samastipur,(19),,
,,101,,79.,Begusarai,(20),,
,,101,,80.,Khagaria,(21),,
11,,102,Central,81.,Bhagalpur,(22),,
,,102,,82.,Banka,(23),,
,,102,,83.,Munger,(24),,
,,102,,84.,Lakhisarai,(25),,
,,102,,85.,Sheikhpura,(26),,
,,102,,86.,Nalanda,(27),,
,,102,,87.,Patna,(28),,
,,102,,88.,Bhojpur,(29),,
,,102,,89.,Buxar,(30),,
,,102,,90.,Kaimur (Bhabua),(31),,
,,102,,91.,Rohtas,(32),,
,,102,,92.,Aurangabad,(33),,
,,102,,93.,Gaya,(34),,
,,102,,94.,Nawada,(35),,
,,102,,95.,Jamui,(36),,
,,102,,96.,Jehanabad,(37),,
,,102,,97.,Arwal,(38),,
12,"Chandigarh
(04)",41,Chandigarh,98,Chandigarh,(01),,
13,Chhattisgarh,221,Northern,99,Koriya,(01),,
,(22),221,Chhattisgarh,100,Surguja,(02),,
,,221,,101,Surajpur,(26),,
,,221,,102,Balrampur,(27),,
14,,222,Mahanadi,103,Jashpur,(03),,
,,222,Basin,104,Raigarh,(04),,
,,222,,105,Korba,(05),,
,,222,,106,Janjgir-Champa,(06),,
,,222,,107,Bilaspur,(07),,
,,222,,108,Kabeerdham,(08),,
,,222,,109,Rajnandgaon,(09),,
,,222,,110,Durg,(10),,
,,222,,111,Raipur,(11),,
,,222,,112,Mahasamund,(12),,
,,222,,113,Dhamtari,(13),,
,,222,,114,Balodabazar,(19),,
,,222,,115,Gariyaband,(20),,
,,222,,116,Bemetara,(23),,
,,222,,117,Balod,(24),,
,,222,,118,Mungeli,(25),,
15,,223,Southern,119,Uttar Bastar Kanker,(14),,
,,223,Chhattisgarh,120,Bastar,(15),,
,,223,,121,Narayanpur,(16),,
,,223,,122,Dakshin Bastar Dantewada,(17),,
,,223,,123,Bijapur,(18),,
,,223,,124,Kondagaon,(21),,
,,223,,125,Sukama,(22),,
16,"Dadra
Nagar
(26)",261,"Dadra &
Nagar Haveli",126.,Dadra & Nagar Haveli,(01),,
17,"Daman
(25)",251,Daman & Diu,"127.
128.",Diu,(01),,
,,251,,,Daman,(02),,
18,Delhi,71,Delhi,129.,North West,(01),,
,(07),71,,130.,North,(02),,
,,71,,131.,North East,(03),,
,,71,,132.,East,(04),,
,,71,,133.,New Delhi,(05),,
,,71,,134.,Central,(06),,
,,71,,135.,West,(07),,
,,71,,136.,South West,(08),,
,,71,,137.,South,(09),,
19,Goa,301,Goa,138.,North Goa,(01),,
,(30),301,,139.,South Goa,(02),,
20,"Gujarat
(24)",241,"South
Eastern","140.
141.",Panch Mahals,(17),,
,,241,,,Dohad,(18),,
,,241,,142.,Vadodara,(19),,
,,241,,143.,Narmada,(20),,
,,241,,144.,Bharuch,(21),,
,,241,,145.,The Dangs,(22),,
,,241,,146.,Navsari,(23),,
,,241,,147.,Valsad,(24),,
,,241,,148.,Surat,(25),,
,,241,,149.,Tapi,(26),,
21,,242,"Plains
Northern","150.
151.
152.
153.
154.
155.",Mahesana,(04),,
,,242,,,Sabar Kantha,(05),,
,,242,,,Gandhinagar,(06),,
,,242,,,Ahmadabad,(07),,
,,242,,,Anand,(15),,
,,242,,,Kheda,(16),,
22,,243,Dry areas,156.,Banas Kantha,(02),,
,,243,,157.,Patan,(03),,
23,,244,Kachchh,158.,Kachchh,(01),,
24,,245,Saurashtra,159.,Surendranagar,(08),,
,,245,,160.,Rajkot,(09),,
,,245,,161.,Jamnagar,(10),,
,,245,,162.,Porbandar,(11),,
,,245,,163.,Junagadh,(12),,
,,245,,164.,Amreli,(13),,
,,245,,165.,Bhavnagar,(14),,
25,"Haryana
(06)",61,Eastern,"166.
167.
168.
169.
170.
171.
172.
173.",Panchkula,(01),,
,,61,,,Ambala,(02),,
,,61,,,Yamunanagar,(03),,
,,61,,,Kurukshetra,(04),,
,,61,,,Kaithal,(05),,
,,61,,,Karnal,(06),,
,,61,,,Panipat,(07),,
,,61,,,Sonipat,(08),,
,,61,,174.,Rohtak,(14),,
,,61,,175.,Jhajjar,(15),,
,,61,,176.,Gurgaon,(18),,
,,61,,177.,Mewat,(19),,
,,61,,178.,Faridabad,(20),,
,,61,,179.,Palwal,(21),,
26,,62,Western,180.,Jind,(09),,
,,62,,181.,Fatehabad,(10),,
,,62,,182.,Sirsa,(11),,
,,62,,183.,Hisar,(12),,
,,62,,184.,Bhiwani,(13),,
,,62,,185.,Mahendragarh,(16),,
,,62,,186.,Rewari,(17),,
27,"Himachal
Pradesh
(02)",21,Central,"187.
188.
189.
190.
191.",Kangra,(02),,
,,21,,,Kullu,(04),,
,,21,,,Mandi,(05),,
,,21,,,Hamirpur,(06),,
,,21,,,Una,(07),,
28,,22,Trans,192,Chamba,(01),,
,,22,Himalayan,193,Lahul & Spiti,(03),,
,,22,& Southern,194,Bilaspur,(08),,
,,22,,195,Solan,(09),,
,,22,,196,Sirmaur,(10),,
,,22,,197,Shimla,(11),,
,,22,,198,Kinnaur,(12),,
29,Jammu &,11,Mountainous,199,Kathua,(07),,
,Kashmir,11,,200,Jammu,(21),,
,(01),11,,201,Samba,(22),,
30,,12,Outer Hills,202,Punch,(05),,
,,12,,203,Rajouri,(06),,
,,12,,204,Doda,(16),,
,,12,,205,Ramban,(17),,
,,12,,206,Kishtwar,(18),,
,,12,,207,Udhampur,(19),,
,,12,,208,Reasi,(20),,
31,,13,Jhelam Valley,209,Kupwara,(01),,
,,13,,210,Badgam,(02),,
,,13,,211,Baramula,(08),,
,,13,,212,Bandipore,(09),,
,,13,,213,Srinagar,(10),,
,,13,,214,Ganderbal,(11),,
,,13,,215,Pulwama,(12),,
,,13,,216,Shupiyan,(13),,
,,13,,217,Anantnag,(14),,
,,13,,218,Kulgam,(15),,
32,,14,Ladakh,219,Leh,(03),,
,,14,,220,Kargil,(04),,
33,Jharkhand,201,Ranchi,221,Garhwa,(01),,
,(20),201,Plateau,222,Lohardaga,(11),,
,,201,,223,Purbi Singhbhum,(12),,
,,201,,224,Palamu,(13),,
,,201,,225,Latehar,(14),,
,,201,,226,Ranchi,(19),,
,,201,,227,Khunti,(20),,
,,201,,228,Gumla,(21),,
,,201,,229,Simdega,(22),,
,,201,,230,Pashchimi Singhbhum,(23),,
,,201,,231,Saraikela-Kharsawan,(24),,
34,,202,Hazaribagh,232,Chatra,(02),,
,,202,Plateau,233,Kodarma,(03),,
,,202,,234,Giridih,(04),,
,,202,,235,Deoghar,(05),,
,,202,,236,Godda,(06),,
,,202,,237,Sahibganj,(07),,
,,202,,238,Pakur,(08),,
,,202,,239,Dhanbad,(09),,
,,202,,240,Bokaro,(10),,
,,202,,241.,Hazaribagh,(15),,
,,202,,242.,Ramgarh,(16),,
,,202,,243.,Dumka,(17),,
,,202,,244.,Jamtara,(18),,
