,State,2007,2014,2017
1,Andaman & Nicobar Islands,"1.1 (-1.1,3.4)","3.4 (-2.6,9.4)","1.7 (-0.7,4.1)"
2,Andhra Pradesh,"6.9 (5.7,8.1)","8 (5.8,10.2)","8.2 (6.3,10.2)"
3,Arunachal Pradesh,"0.9 (-0.3,2.1)","3.9 (0.2,7.6)","7.1 (5.1,9)"
4,Assam,"8.3 (6.3,10.3)","17.5 (14.5,20.5)","21.2 (18.6,23.8)"
5,Bihar,"4.5 (3.7,5.2)","12.4 (10.1,14.6)","14.8 (12.5,17.1)"
6,Chandigarh,"8 (-1.1,17.2)","1.9 (-0.1,3.9)","2.3 (-0.8,5.3)"
7,Chhattisgarh,"8.9 (6.5,11.3)","19.2 (14.1,24.3)","18.9 (16.3,21.5)"
8,Dadra & Nagar Haveli,"10.3 (2.4,18.1)","1 (-1,3)","0 (0,0)"
9,Daman & Diu,"0 (0,0)","9.4 (-0.6,19.4)","2.8 (-2.5,8)"
10,Delhi,"1.4 (-1.3,4.1)","0 (0,0)","9.7 (-6.5,25.9)"
11,Goa,"3.6 (-0.5,7.6)","1.7 (-1.7,5.1)","2.4 (-1.8,6.6)"
12,Gujarat,"5.8 (4.2,7.3)","3.8 (2.2,5.4)","5.6 (3.5,7.6)"
13,Haryana,"3.9 (2.3,5.6)","2.1 (0.8,3.5)","4.3 (2.3,6.2)"
14,Himachal Pradesh,"0.2 (-0.2,0.7)","0 (0,0)","0.3 (-0.2,0.7)"
15,Jammu & Kashmir,"0.2 (-0.2,0.6)","0.4 (-0.3,1.2)","0.2 (-0.1,0.6)"
16,Jharkhand,"8.8 (6.6,11)","18.3 (14.2,22.4)","13.1 (10.9,15.3)"
17,Karnataka,"3.2 (2.1,4.3)","12.7 (9.5,15.9)","4.9 (3,6.8)"
18,Kerala,"3.4 (2,4.8)","4.3 (2.3,6.2)","6 (3.6,8.3)"
19,Lakshadweep,"14.1 (2.2,25.9)","26.2 (10.2,42.1)","24.5 (6.7,42.3)"
20,Madhya Pradesh,"6.7 (5.6,7.9)","12.7 (10.5,14.9)","11.4 (9.5,13.3)"
21,Maharashtra,"7.2 (6,8.5)","7.4 (5.8,9)","7.1 (5.3,8.8)"
22,Manipur,"15 (11.9,18)","7.4 (4.6,10.3)","5.8 (3.9,7.8)"
23,Meghalaya,"5 (2.8,7.1)","3.2 (0.8,5.5)","0.9 (-0.1,1.9)"
24,Mizoram,"0 (0,0)","0 (0,0)","0.2 (-0.2,0.7)"
25,Nagaland,"0.6 (-0.2,1.4)","0.1 (-0.1,0.3)","0 (0,0)"
26,Odisha,"9 (7.3,10.6)","20.4 (17.5,23.3)","21.1 (18.3,24)"
27,Puducherry,"9.1 (2,16.1)","10.5 (-2.1,23.2)","3.2 (-1.1,7.4)"
28,Punjab,"14 (11.2,16.9)","6.7 (3.8,9.6)","11.2 (7.9,14.5)"
29,Rajasthan,"3.7 (2.8,4.6)","3.2 (2.1,4.3)","3.9 (2.8,5)"
30,Sikkim,"0 (0,0)","0 (0,0)","0 (0,0)"
31,Tamil Nadu,"7.2 (5.7,8.7)","13 (10.4,15.7)","14.7 (11.6,17.9)"
32,Tripura,"6.5 (4.5,8.5)","9.4 (6.1,12.8)","17.5 (13.6,21.4)"
33,Uttar Pradesh,"10.6 (9.6,11.5)","14.4 (12.8,16)","17.1 (15.6,18.7)"
34,Uttarakhand,"5.6 (3.1,8)","2.5 (0.4,4.7)","4.6 (2.3,6.9)"
35,West Bengal,"15 (13.3,16.7)","16.5 (14,19)","29.9 (26.8,32.9)"
