,State,2007,2014,2017
1,Andaman & Nicobar Islands,"0.6 (-0.6,1.7)","1.6 (-1.1,4.2)","1.6 (0,3.1)"
2,Andhra Pradesh,"5.2 (4.4,6)","6.2 (4.8,7.6)","7.1 (5.7,8.5)"
3,Arunachal Pradesh,"0.9 (0,1.8)","4.2 (1.7,6.7)","6.1 (4.8,7.3)"
4,Assam,"8.3 (6.8,9.9)","17 (14.8,19.2)","19.8 (17.9,21.7)"
5,Bihar,"3.4 (2.8,3.9)","10.3 (8.7,11.8)","14.3 (12.5,16.1)"
6,Chandigarh,"6.3 (0.6,11.9)","1 (0,2)","1.3 (-0.3,2.9)"
7,Chhattisgarh,"8.6 (6.8,10.4)","17.8 (14.1,21.5)","18.7 (16.8,20.6)"
8,Dadra & Nagar Haveli,"7.8 (2.2,13.3)","1 (-0.4,2.3)","0 (0,0)"
9,Daman & Diu,"0 (0,0)","5.8 (0.4,11.2)","4.3 (-0.8,9.4)"
10,Delhi,"0.8 (-0.8,2.4)","0 (0,0)","4.2 (-2.8,11.1)"
11,Goa,"1.8 (-0.2,3.8)","0.5 (-0.4,1.4)","1.1 (-0.8,3)"
12,Gujarat,"4.3 (3.3,5.3)","3.5 (2.4,4.6)","5.3 (3.8,6.9)"
13,Haryana,"3 (1.9,4.1)","1.9 (0.9,2.9)","3.9 (2.4,5.4)"
14,Himachal Pradesh,"0.2 (-0.1,0.6)","0 (0,0)","0.1 (-0.1,0.4)"
15,Jammu & Kashmir,"0.1 (-0.1,0.3)","0.2 (-0.2,0.7)","0.2 (0,0.4)"
16,Jharkhand,"6.7 (5.3,8.1)","14.9 (12.2,17.6)","11 (9.5,12.5)"
17,Karnataka,"3 (2.3,3.8)","10.3 (8.2,12.4)","4.9 (3.4,6.4)"
18,Kerala,"2.2 (1.4,3)","3.9 (2.6,5.3)","4.5 (3,6.1)"
19,Lakshadweep,"21.2 (11.2,31.2)","26.1 (14.5,37.8)","15.9 (2.4,29.4)"
20,Madhya Pradesh,"6.1 (5.3,6.9)","11.2 (9.7,12.7)","10.9 (9.5,12.2)"
21,Maharashtra,"5.5 (4.7,6.3)","6.2 (5.2,7.3)","5.8 (4.7,7)"
22,Manipur,"13.8 (11.7,16)","6.7 (4.7,8.7)","5.4 (4,6.9)"
23,Meghalaya,"3 (1.8,4.2)","3 (1.5,4.6)","0.9 (0.3,1.6)"
24,Mizoram,"0 (0,0)","0 (0,0)","0.1 (-0.1,0.4)"
25,Nagaland,"0.3 (-0.1,0.8)","0.1 (-0.1,0.2)","0 (0,0)"
26,Odisha,"8.4 (7.2,9.5)","19.7 (17.6,21.8)","18.8 (16.8,20.8)"
27,Puducherry,"10.3 (4.2,16.4)","6.5 (-0.9,13.8)","2.1 (-0.1,4.3)"
28,Punjab,"12.7 (10.6,14.7)","7 (4.8,9.1)","9.7 (7.4,12)"
29,Rajasthan,"2.5 (1.9,3.1)","2.8 (2,3.6)","3 (2.3,3.8)"
30,Sikkim,"0 (0,0)","0 (0,0)","0 (0,0)"
31,Tamil Nadu,"6.8 (5.7,7.8)","11 (9.2,12.8)","14.4 (12.1,16.6)"
32,Tripura,"5 (3.8,6.3)","8.2 (5.8,10.6)","14.2 (11.5,16.8)"
33,Uttar Pradesh,"8 (7.4,8.6)","11.9 (10.8,12.9)","15 (13.9,16.1)"
34,Uttarakhand,"3.6 (2.2,5.1)","2.4 (0.6,4.2)","4.4 (2.9,6)"
35,West Bengal,"12.2 (11.1,13.3)","15.9 (14.2,17.7)","28.7 (26.6,30.9)"
