,State,2007,2014,2017
1,Andaman & Nicobar Islands,"0 (0,0)","0.2 (0,0.3)","1.4 (-0.5,3.3)"
2,Andhra Pradesh,"3.3 (2.4,4.3)","4 (2.4,5.5)","5.9 (3.9,7.9)"
3,Arunachal Pradesh,"0.9 (-0.4,2.2)","4.5 (1,8)","4.9 (3.2,6.6)"
4,Assam,"8.4 (6,10.8)","16.2 (13,19.5)","17.9 (15.2,20.6)"
5,Bihar,"1.7 (1.1,2.2)","7.7 (5.6,9.7)","13.5 (10.7,16.3)"
6,Chandigarh,"4.3 (-1.7,10.3)","0 (0,0)","0 (0,0)"
7,Chhattisgarh,"8.3 (5.7,10.8)","16.3 (10.8,21.7)","18.4 (15.6,21.2)"
8,Dadra & Nagar Haveli,"3.1 (-2.9,9)","0.9 (-0.9,2.8)","0 (0,0)"
9,Daman & Diu,"0 (0,0)","2.7 (-2.6,8)","5.7 (-3,14.4)"
10,Delhi,"0 (0,0)","0 (0,0)","0 (0,0)"
11,Goa,"0 (0,0)","0 (0,0)","0 (0,0)"
12,Gujarat,"2.5 (1.4,3.7)","3.2 (1.7,4.6)","5.1 (2.6,7.5)"
13,Haryana,"1.8 (0.5,3)","1.5 (0,3.1)","3.3 (0.9,5.7)"
14,Himachal Pradesh,"0.3 (-0.2,0.7)","0 (0,0)","0 (0,0)"
15,Jammu & Kashmir,"0 (0,0)","0 (0,0)","0.1 (-0.1,0.3)"
16,Jharkhand,"4 (2.4,5.7)","10.6 (7.5,13.7)","8.6 (6.7,10.5)"
17,Karnataka,"2.8 (1.7,4)","7.8 (5.2,10.3)","4.9 (2.6,7.2)"
18,Kerala,"0.9 (0.2,1.6)","3.6 (1.7,5.5)","2.6 (0.9,4.4)"
19,Lakshadweep,"28.3 (12.6,44)","26.1 (9.1,43.1)","13.2 (-3.7,30)"
20,Madhya Pradesh,"5.2 (4.1,6.4)","9.6 (7.6,11.6)","10.2 (8.3,12.1)"
21,Maharashtra,"3.6 (2.5,4.6)","4.8 (3.4,6.3)","4.3 (2.9,5.8)"
22,Manipur,"12.4 (9.3,15.5)","5.6 (2.8,8.4)","4.9 (2.8,7)"
23,Meghalaya,"1 (0,1.9)","2.9 (0.8,5)","1 (0.1,1.8)"
24,Mizoram,"0 (0,0)","0 (0,0)","0 (0,0)"
25,Nagaland,"0 (0,0)","0 (0,0)","0 (0,0)"
26,Odisha,"7.7 (6,9.4)","19 (15.9,22)","16.1 (13.4,18.7)"
27,Puducherry,"12.6 (1.1,24)","1.3 (-1.3,3.8)","1.1 (-0.2,2.4)"
28,Punjab,"10.8 (7.9,13.7)","7.2 (4,10.5)","7.7 (4.7,10.7)"
29,Rajasthan,"0.8 (0.3,1.4)","2.2 (1.2,3.3)","2 (1,3)"
30,Sikkim,"0 (0,0)","0 (0,0)","0 (0,0)"
31,Tamil Nadu,"6.4 (4.9,7.9)","8.7 (6.3,11.1)","14 (10.8,17.1)"
32,Tripura,"3.4 (1.9,4.9)","6.3 (3.1,9.4)","10 (6.7,13.3)"
33,Uttar Pradesh,"4.8 (4,5.5)","8.7 (7.4,10)","12.4 (10.8,14)"
34,Uttarakhand,"1.5 (0.2,2.9)","2.2 (-0.8,5.2)","4.3 (2.2,6.4)"
35,West Bengal,"9.1 (7.7,10.6)","15.4 (12.9,17.8)","27.6 (24.6,30.6)"
