,State,Mode share of cycling (%),,,Proportion of girls among cyclists (%),,
,,2007,2014,2017,2007,2014,2017
1,Andaman & Nicobar Islands,"0.6 (-0.6,1.7)","1.6 (-1.1,4.2)","1.6 (0,3.1)","0 (0,0)","5.6 (-5.7,16.9)","45.3 (-3.1,93.8)"
2,Andhra Pradesh,"5.2 (4.4,6)","6.2 (4.8,7.6)","7.1 (5.7,8.5)","30.4 (23.3,37.6)","28.3 (18.3,38.4)","39.1 (29,49.2)"
3,Arunachal Pradesh,"0.9 (0,1.8)","4.2 (1.7,6.7)","6.1 (4.8,7.3)","48.6 (0,97.3)","53.6 (22.1,85.1)","36.6 (26.1,47.1)"
4,Assam,"8.3 (6.8,9.9)","17 (14.8,19.2)","19.8 (17.9,21.7)","41.9 (32.5,51.3)","39.6 (32.7,46.6)","38.4 (33.3,43.4)"
5,Bihar,"3.4 (2.8,3.9)","10.3 (8.7,11.8)","14.3 (12.5,16.1)","19.3 (13.1,25.5)","33.1 (25.7,40.6)","36.8 (30.2,43.5)"
6,Chandigarh,"6.3 (0.6,11.9)","1 (0,2)","1.3 (-0.3,2.9)","32 (-7.3,71.4)","0 (0,0)","0 (0,0)"
7,Chhattisgarh,"8.6 (6.8,10.4)","17.8 (14.1,21.5)","18.7 (16.8,20.6)","43 (32.4,53.6)","43.2 (31.3,55.1)","45.1 (39.7,50.5)"
8,Dadra & Nagar Haveli,"7.8 (2.2,13.3)","1 (-0.4,2.3)","0 (0,0)","13.8 (-11.5,39.1)","50 (-19.4,119.4)","0 (0,0)"
9,Daman & Diu,"0 (0,0)","5.8 (0.4,11.2)","4.3 (-0.8,9.4)","0 (0,0)","24.9 (-16.9,66.7)","69.3 (20.3,118.3)"
10,Delhi,"0.8 (-0.8,2.4)","0 (0,0)","4.2 (-2.8,11.1)","0 (0,0)","0 (0,0)","0 (0,0)"
11,Goa,"1.8 (-0.2,3.8)","0.5 (-0.4,1.4)","1.1 (-0.8,3)","0 (0,0)","0 (0,0)","0 (0,0)"
12,Gujarat,"4.3 (3.3,5.3)","3.5 (2.4,4.6)","5.3 (3.8,6.9)","25.9 (15.5,36.3)","39.7 (24.5,54.9)","44.2 (28.9,59.6)"
13,Haryana,"3 (1.9,4.1)","1.9 (0.9,2.9)","3.9 (2.4,5.4)","24.3 (9.3,39.4)","37.4 (10.5,64.3)","33.1 (14,52.1)"
14,Himachal Pradesh,"0.2 (-0.1,0.6)","0 (0,0)","0.1 (-0.1,0.4)","47.3 (-21.8,116.4)","0 (0,0)","0 (0,0)"
15,Jammu & Kashmir,"0.1 (-0.1,0.3)","0.2 (-0.2,0.7)","0.2 (0,0.4)","0 (0,0)","0 (0,0)","26.6 (-20.9,74)"
16,Jharkhand,"6.7 (5.3,8.1)","14.9 (12.2,17.6)","11 (9.5,12.5)","26.6 (17,36.3)","31 (22.6,39.4)","35.5 (28.8,42.2)"
17,Karnataka,"3 (2.3,3.8)","10.3 (8.2,12.4)","4.9 (3.4,6.4)","43.6 (30.6,56.7)","36.2 (26,46.3)","41 (26,56.1)"
18,Kerala,"2.2 (1.4,3)","3.9 (2.6,5.3)","4.5 (3,6.1)","20.4 (6.5,34.3)","46 (28.2,63.7)","25.6 (10.9,40.4)"
19,Lakshadweep,"21.2 (11.2,31.2)","26.1 (14.5,37.8)","15.9 (2.4,29.4)","67 (42.2,91.8)","49.3 (23.6,74.9)","62.3 (26.3,98.2)"
20,Madhya Pradesh,"6.1 (5.3,6.9)","11.2 (9.7,12.7)","10.9 (9.5,12.2)","37.6 (30.8,44.4)","40.7 (33.7,47.7)","42.7 (36.3,49.1)"
