,State,2007,2014,2017
1,Andaman & Nicobar Islands,"0.4 (-0.4,1.1)","1 (-0.5,2.4)","1.5 (0.1,3)"
2,Andhra Pradesh,"6 (5.3,6.7)","7.4 (6.3,8.5)","7.2 (6.2,8.3)"
3,Arunachal Pradesh,"0.9 (0.2,1.5)","4.6 (2.4,6.7)","6.1 (5,7.2)"
4,Assam,"8.3 (6.9,9.7)","16.6 (14.6,18.7)","19 (17.2,20.7)"
5,Bihar,"3.6 (3.1,4.1)","10.2 (8.8,11.6)","14.2 (12.6,15.8)"
6,Chandigarh,"13.5 (8.3,18.6)","14.2 (6.3,22)","6.9 (2.6,11.1)"
7,Chhattisgarh,"9.2 (7.6,10.8)","17.2 (14,20.3)","18.9 (17.2,20.6)"
8,Dadra & Nagar Haveli,"6.7 (1.9,11.6)","0.9 (-0.1,1.9)","0.3 (-0.2,0.7)"
9,Daman & Diu,"6.3 (2.9,9.8)","1.6 (0.1,3.1)","8.6 (-1.4,18.5)"
10,Delhi,"0.9 (0.2,1.5)","0.3 (-0.2,0.7)","3.7 (1.7,5.6)"
11,Goa,"1.3 (0.1,2.4)","0.2 (-0.2,0.5)","3.3 (0.1,6.5)"
12,Gujarat,"6.7 (5.7,7.6)","5.6 (4.6,6.5)","7.7 (6.2,9.1)"
13,Haryana,"4.6 (3.5,5.7)","2.1 (1.3,2.9)","3.6 (2.5,4.7)"
14,Himachal Pradesh,"0.2 (-0.1,0.5)","0 (0,0)","0.1 (-0.1,0.4)"
15,Jammu & Kashmir,"0.1 (-0.1,0.3)","0.2 (-0.2,0.6)","0.2 (0,0.4)"
16,Jharkhand,"7.3 (5.9,8.6)","13.8 (11.5,16.1)","10.1 (8.8,11.4)"
17,Karnataka,"3.2 (2.5,3.9)","9.4 (8,10.8)","4.9 (3.9,6)"
18,Kerala,"3 (2.2,3.8)","4.6 (3.6,5.7)","4.8 (3.7,6)"
19,Lakshadweep,"29.2 (22.1,36.4)","49 (39.3,58.7)","46.8 (36.7,56.8)"
20,Madhya Pradesh,"6.2 (5.5,6.9)","10.3 (9.1,11.5)","9.7 (8.6,10.8)"
21,Maharashtra,"6.7 (5.9,7.4)","6.4 (5.6,7.2)","5.2 (4.4,6)"
22,Manipur,"14.9 (13.1,16.8)","6.5 (4.9,8)","6 (4.8,7.1)"
23,Meghalaya,"2.6 (1.6,3.6)","2.7 (1.4,4.1)","0.8 (0.2,1.4)"
24,Mizoram,"0 (0,0)","0.2 (-0.2,0.5)","0.3 (0,0.5)"
25,Nagaland,"0.3 (-0.1,0.6)","0 (0,0.1)","0.8 (-0.1,1.7)"
26,Odisha,"10 (8.8,11.2)","20 (18.1,21.9)","19.3 (17.5,21.2)"
27,Puducherry,"12 (8,16.1)","11.3 (6.8,15.9)","8.3 (4.7,11.9)"
28,Punjab,"12.2 (10.6,13.8)","7.7 (5.9,9.4)","7.9 (6.3,9.6)"
29,Rajasthan,"3.1 (2.5,3.7)","3.1 (2.4,3.8)","3 (2.3,3.7)"
30,Sikkim,"0 (0,0)","0 (0,0)","0.1 (-0.1,0.3)"
31,Tamil Nadu,"7.5 (6.6,8.4)","10.8 (9.6,12.1)","13.6 (11.9,15.4)"
32,Tripura,"5.2 (4,6.3)","7.8 (5.8,9.8)","13.3 (11,15.5)"
33,Uttar Pradesh,"8.1 (7.5,8.7)","10.9 (10,11.7)","13.8 (12.9,14.8)"
34,Uttarakhand,"4.5 (2.9,6.1)","2.4 (0.9,3.9)","4.2 (2.9,5.6)"
35,West Bengal,"11.4 (10.5,12.3)","16.1 (14.7,17.5)","26.2 (24.5,28)"
