,State,2007,2014,2017
1,Andaman & Nicobar Islands,"0 (0,0)","0 (0,0)","2.5 (-2.1,7.1)"
2,Andhra Pradesh,"10.3 (7.9,12.7)","11.3 (9.1,13.5)","8.7 (6.4,11)"
3,Arunachal Pradesh,"0 (0,0)","6.4 (2.3,10.5)","5.8 (3.1,8.5)"
4,Assam,"9.4 (5.6,13.2)","12.3 (6.6,17.9)","10.8 (7.2,14.3)"
5,Bihar,"7.5 (3.7,11.3)","12.9 (9.3,16.4)","14 (10.1,18)"
6,Chandigarh,"19.7 (11.6,27.9)","14.1 (3.6,24.6)","7.9 (1.6,14.1)"
7,Chhattisgarh,"11.2 (7.2,15.1)","15 (9,21.1)","22.9 (16.9,28.8)"
8,Dadra & Nagar Haveli,"0 (0,0)","1.8 (-1.7,5.3)","1.3 (-0.8,3.4)"
9,Daman & Diu,"18.5 (7,30)","0 (0,0)","10.3 (-8.7,29.3)"
10,Delhi,"1.5 (0.3,2.7)","0.5 (-0.3,1.3)","5 (1.9,8.1)"
11,Goa,"0.6 (-0.6,1.8)","0 (0,0)","4.8 (-1.2,10.8)"
12,Gujarat,"12.1 (9.3,14.9)","12.1 (9.3,14.9)","13.2 (9.6,16.9)"
13,Haryana,"11.7 (7.6,15.9)","1.8 (0.3,3.3)","3.7 (1.5,5.9)"
14,Himachal Pradesh,"0 (0,0)","0 (0,0)","0 (0,0)"
15,Jammu & Kashmir,"0 (0,0)","0 (0,0)","0 (0,0)"
16,Jharkhand,"12.7 (7.6,17.8)","13.6 (7.3,19.8)","7.4 (3.6,11.1)"
17,Karnataka,"4.4 (2.5,6.3)","9.3 (7.1,11.6)","6.7 (4.4,9)"
18,Kerala,"8.1 (4.2,12)","7.4 (4.7,10)","5.9 (3.4,8.4)"
19,Lakshadweep,"46.5 (32.6,60.3)","74.8 (60.3,89.4)","58.3 (45.3,71.4)"
20,Madhya Pradesh,"7.4 (5.3,9.5)","7.9 (5.9,10)","7.5 (5.2,9.8)"
21,Maharashtra,"10.6 (8.7,12.6)","8.6 (6.8,10.4)","4.3 (2.8,5.8)"
22,Manipur,"18.4 (13.6,23.2)","8.9 (4.8,13.1)","7.3 (4.7,9.8)"
23,Meghalaya,"0.7 (-0.7,2.1)","1.5 (-0.4,3.3)","0 (0,0)"
24,Mizoram,"0 (0,0)","0 (0,0)","0.9 (-0.1,1.9)"
25,Nagaland,"0 (0,0)","0 (0,0)","1.9 (-1.8,5.7)"
26,Odisha,"20.6 (15.4,25.7)","19.5 (13.7,25.2)","22.7 (15.6,29.7)"
27,Puducherry,"15.4 (7.4,23.5)","17.9 (9.2,26.7)","16 (8.2,23.7)"
28,Punjab,"15 (11.3,18.6)","11.2 (6.9,15.5)","3.7 (1.9,5.4)"
29,Rajasthan,"6.9 (4.5,9.3)","4.7 (2.8,6.6)","2.9 (0.9,5)"
30,Sikkim,"0 (0,0)","0 (0,0)","0.9 (-0.9,2.8)"
31,Tamil Nadu,"8.8 (6.6,11)","14.1 (11.1,17.1)","14.3 (9.8,18.7)"
32,Tripura,"10 (4.4,15.6)","7 (3.3,10.8)","10.7 (6.2,15.2)"
33,Uttar Pradesh,"10.7 (8.2,13.2)","8.9 (7.1,10.7)","9.5 (7.4,11.6)"
34,Uttarakhand,"12.5 (3.1,21.9)","2.4 (-1,5.8)","4.4 (1.2,7.5)"
35,West Bengal,"10.2 (8.1,12.3)","19.7 (16.5,23)","22.2 (18.7,25.7)"
