,State,2007,2014,2017
1,Andaman & Nicobar Islands,"0 (0,0)","0.3 (-0.3,0.8)","1.5 (-1.3,4.3)"
2,Andhra Pradesh,"8.3 (6.8,9.8)","9.7 (8.1,11.2)","7.4 (5.8,8.9)"
3,Arunachal Pradesh,"0.7 (-0.3,1.7)","6.6 (3.7,9.4)","6 (3.8,8.2)"
4,Assam,"8.3 (5.7,11)","13.4 (8.3,18.6)","10.5 (7.7,13.4)"
5,Bihar,"5.4 (3.1,7.8)","9.5 (7.3,11.6)","13.2 (10.4,15.9)"
6,Chandigarh,"14.4 (8.6,20.1)","14.7 (6.6,22.9)","7.1 (2.7,11.5)"
7,Chhattisgarh,"12.7 (8.6,16.9)","14.4 (10.1,18.7)","20.1 (16,24.2)"
8,Dadra & Nagar Haveli,"0 (0,0)","0.8 (-0.8,2.4)","0.6 (-0.4,1.7)"
9,Daman & Diu,"15.9 (7.7,24.1)","0 (0,0)","10.2 (-3.3,23.8)"
10,Delhi,"0.9 (0.2,1.6)","0.3 (-0.2,0.7)","3.7 (1.7,5.7)"
11,Goa,"0.8 (-0.3,1.9)","0 (0,0)","4.3 (-0.2,8.9)"
12,Gujarat,"11 (9,13)","9.2 (7.3,11)","11.8 (9.1,14.6)"
13,Haryana,"9.4 (6.5,12.2)","2.5 (1.2,3.8)","2.9 (1.5,4.4)"
14,Himachal Pradesh,"0 (0,0)","0 (0,0)","0 (0,0)"
15,Jammu & Kashmir,"0 (0,0)","0 (0,0)","0.2 (-0.2,0.7)"
16,Jharkhand,"10.2 (6.3,14.1)","9 (5.5,12.5)","5.9 (3.5,8.3)"
17,Karnataka,"3.6 (2.2,4.9)","7.8 (6.3,9.3)","5 (3.6,6.5)"
18,Kerala,"5.5 (3.3,7.8)","5.6 (4.1,7.2)","5.2 (3.5,7)"
19,Lakshadweep,"38.1 (28.2,48)","55.8 (44.1,67.6)","63 (53.1,72.8)"
20,Madhya Pradesh,"6.6 (5.1,8.1)","7.5 (6,9)","5.9 (4.3,7.4)"
21,Maharashtra,"8.4 (7.1,9.8)","6.6 (5.5,7.8)","4.3 (3.1,5.4)"
22,Manipur,"17.8 (14.2,21.4)","6 (3.5,8.5)","7 (5.2,8.8)"
23,Meghalaya,"0.3 (-0.3,0.8)","1.3 (0.1,2.4)","0 (0,0)"
24,Mizoram,"0 (0,0)","0.4 (-0.4,1.1)","0.4 (-0.1,0.9)"
25,Nagaland,"0.1 (-0.1,0.4)","0 (0,0)","3.1 (-0.3,6.4)"
26,Odisha,"21.1 (16.8,25.3)","21.6 (17.5,25.6)","22.2 (17.1,27.4)"
27,Puducherry,"13.4 (8,18.9)","14.2 (8.5,19.9)","12.6 (7,18.2)"
28,Punjab,"11.2 (8.9,13.5)","9 (6.1,12)","4.2 (2.6,5.9)"
29,Rajasthan,"5 (3.4,6.5)","4.1 (2.8,5.4)","2.7 (1.1,4.2)"
30,Sikkim,"0 (0,0)","0 (0,0)","0.5 (-0.5,1.5)"
31,Tamil Nadu,"8.4 (6.8,10)","10.6 (8.8,12.4)","12.7 (9.9,15.5)"
32,Tripura,"5.8 (2.6,8.9)","6 (3,9)","9.4 (6.2,12.6)"
33,Uttar Pradesh,"8.6 (7,10.2)","6.7 (5.6,7.9)","8.4 (6.9,10)"
34,Uttarakhand,"7.4 (2.3,12.4)","2.5 (0.1,4.9)","3.6 (1.4,5.7)"
35,West Bengal,"8.1 (6.7,9.5)","16.7 (14.5,18.9)","18.5 (16.2,20.8)"
