,State,2007,2014,2017
1,Andaman & Nicobar Islands,"0 (0,0)","0.6 (-0.6,1.7)","0 (0,0)"
2,Andhra Pradesh,"6.2 (4.4,7.9)","7.8 (5.6,9.9)","5.6 (3.6,7.5)"
3,Arunachal Pradesh,"1.5 (-0.6,3.5)","6.8 (2.5,11.1)","6.3 (2.5,10.2)"
4,Assam,"7.1 (3.4,10.8)","14.6 (6.2,22.9)","10.2 (5.5,14.9)"
5,Bihar,"2.7 (1,4.3)","5.6 (3.3,7.8)","11.8 (8.3,15.2)"
6,Chandigarh,"4.4 (-0.5,9.3)","15.4 (2.8,27.9)","6.1 (-0.1,12.2)"
7,Chhattisgarh,"14.3 (7.2,21.5)","13.6 (7.3,19.9)","16.6 (11.3,21.9)"
8,Dadra & Nagar Haveli,"0 (0,0)","0 (0,0)","0 (0,0)"
9,Daman & Diu,"12.3 (1.1,23.5)","0 (0,0)","10.1 (-9.2,29.4)"
10,Delhi,"0 (0,0)","0 (0,0)","1.6 (-0.2,3.5)"
11,Goa,"1 (-1,3)","0 (0,0)","3.6 (-3.2,10.5)"
12,Gujarat,"9.5 (6.7,12.3)","5.6 (3.4,7.8)","9.6 (5.4,13.8)"
13,Haryana,"5.9 (2.5,9.3)","3.4 (1,5.8)","1.7 (0.2,3.2)"
14,Himachal Pradesh,"0 (0,0)","0 (0,0)","0 (0,0)"
15,Jammu & Kashmir,"0 (0,0)","0 (0,0)","0.6 (-0.6,1.7)"
16,Jharkhand,"7.1 (1,13.2)","4.9 (1.5,8.2)","3.9 (1.7,6.2)"
17,Karnataka,"2.7 (0.9,4.5)","6.2 (4.3,8.1)","3.1 (1.4,4.8)"
18,Kerala,"3.1 (0.7,5.6)","4 (2.3,5.7)","4.5 (2.1,6.8)"
19,Lakshadweep,"26.9 (14.1,39.6)","36.4 (20.3,52.5)","69.2 (54.7,83.8)"
20,Madhya Pradesh,"5.6 (3.4,7.7)","7 (4.9,9.2)","3.6 (1.9,5.3)"
21,Maharashtra,"6 (4.2,7.8)","4 (2.8,5.2)","4.2 (2.4,5.9)"
22,Manipur,"17 (11.5,22.6)","2.4 (0.5,4.2)","6.7 (4,9.4)"
23,Meghalaya,"0 (0,0)","1.1 (-0.4,2.5)","0 (0,0)"
24,Mizoram,"0 (0,0)","0.8 (-0.8,2.4)","0 (0,0)"
25,Nagaland,"0.3 (-0.3,0.9)","0 (0,0)","4.3 (-1.5,10.1)"
26,Odisha,"21.8 (14.7,28.8)","23.5 (17.8,29.3)","21.7 (14.2,29.2)"
27,Puducherry,"11.2 (4.1,18.3)","8.8 (3.1,14.4)","7.8 (0.1,15.4)"
28,Punjab,"6.8 (4.3,9.4)","6.2 (2.6,9.9)","5.1 (1.8,8.3)"
29,Rajasthan,"2.4 (0.9,3.9)","3.4 (1.7,5.2)","2.3 (-0.2,4.8)"
30,Sikkim,"0 (0,0)","0 (0,0)","0 (0,0)"
31,Tamil Nadu,"8 (5.7,10.3)","7.3 (5.2,9.3)","10.7 (7.9,13.6)"
32,Tripura,"0.7 (-0.3,1.7)","4.7 (-0.2,9.7)","7.8 (3.2,12.5)"
33,Uttar Pradesh,"6 (4.2,7.8)","4.2 (2.9,5.5)","7.1 (4.8,9.4)"
34,Uttarakhand,"2.3 (0,4.5)","2.6 (-0.7,5.9)","2.4 (-0.1,4.8)"
35,West Bengal,"5.5 (3.8,7.1)","13.3 (10.5,16.1)","14.6 (11.6,17.7)"
